Proposal,Observation,Data Type,Intent,Instrument,Filter,Moving,Polygon Boundary,Exposure Start,Exposure End,Level 2 Members,Asteroids,Datalabs
1022,jw01022-o017_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.3067671009999975 1.7644787390000014 7.276978680999993 1.7544882930000012 7.2668867720000305 1.7845496410000004 7.296675621999989 1.7945402490000013,2022-07-03 17:11:15.041,2022-07-03 17:11:45.566,jw01022017001_03101_00001_mirimage,,True
1022,jw01022-o018_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.353763240999985 1.7846501009999973 7.3239830729999875 1.7746341440000015 7.313865280000001 1.8046868359999981 7.3436458820000015 1.8147029580000014,2022-07-03 17:31:58.304,2022-07-03 17:32:28.829,jw01022018001_02101_00001_mirimage,2014 OL348,True
1022,jw01022-o019_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.400738201000006 1.804924475000001 7.370959947000015 1.794901853999997 7.360835307000023 1.8249522800000022 7.390613999999988 1.8349750679999974,2022-07-03 17:53:20.351,2022-07-03 17:53:50.876,jw01022019001_02101_00001_mirimage,,True
1022,jw01022-o020_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.451797147000006 1.7901992869999988 7.42200690899999 1.7802130219999972 7.411919077999977 1.8102757840000008 7.441709752000019 1.8202622139999987,2022-07-03 20:12:41.751,2022-07-03 20:13:12.276,jw01022020001_03101_00001_mirimage,,True
1022,jw01022-o021_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.472878321000017 1.8298202279999978 7.443087659000002 1.8198332879999994 7.432998918 1.8498958200000017 7.462790025000003 1.8598829289999985,2022-07-03 19:04:20.187,2022-07-03 19:04:50.712,jw01022021001_03101_00001_mirimage,1999 NP39,True
1022,jw01022-o022_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.421719680999986 1.8502531889999982 7.391929533999993 1.8402637020000023 7.3818380999999755 1.8703253700000013 7.4116286969999905 1.8803150280000018,2022-07-03 18:13:55.294,2022-07-03 18:14:25.819,jw01022022001_02101_00001_mirimage,,True
1022,jw01022-o023_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.522496911000008 1.8581972560000026 7.492707940999999 1.848203877 7.482612529000018 1.8782642219999994 7.512401951000015 1.8882577720000004,2022-07-04 19:35:19.548,2022-07-04 19:35:50.073,jw01022023001_03101_00001_mirimage,,True
1022,jw01022-o024_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.492292731999994 1.8482353319999996 7.462500537000004 1.838252060999997 7.452415393999974 1.8683158309999974 7.482208040000024 1.8782992719999978,2022-07-04 19:12:56.382,2022-07-04 19:13:26.907,jw01022024001_03101_00001_mirimage,,True
1022,jw01022-o025_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.406980596999986 1.7934968080000016 7.377193375000016 1.7835013939999975 7.367096283999986 1.813561057999997 7.396883941999984 1.823556637000003,2022-07-03 13:11:56.655,2022-07-03 13:12:27.180,jw01022025001_03101_00001_mirimage,,True
1022,jw01022-o026_t001_miri_f770w,image,science,MIRI/IMAGE,F770W,Yes,Polygon 7.4581897880000065 1.8142241319999992 7.428399280999975 1.8042374979999998 7.418310940000027 1.8343001350000012 7.448101888999988 1.8442869359999978,2022-07-03 19:49:56.440,2022-07-03 19:50:26.965,jw01022026001_03101_00001_mirimage,1999 NP39,True
