Asteroid,Common Name,Frequency,Classification,Radius (km),Geo_Albedo,Visual Mag,Surface Bright (mag/arcsec2),Average S/N,Filter_Count,Filters,Proposals,Moving Target,Earliest Observation,Latest Observation,Observation Time Difference
1999 XC173,-,36,Main-belt Asteroid,-,-,18.2,-,1655.21,9,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W, F2550W",6618,Moving,2024-12-09 00:58:34,2024-12-09 02:58:53,2:00:19
1999 XZ93,-,36,Main-belt Asteroid,2.2875,.368,18.924,5.623,1293.4,9,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W, F2550W",1522,Moving,2023-03-21 15:00:36,2023-03-21 17:02:02,2:01:26
2002 CZ164,-,32,Main-belt Asteroid,-,-,21.026,-,2536.18,2,"F770W, F1280W",1802,Non-moving,2022-07-23 04:17:52,2022-07-23 08:00:03,3:42:11
2010 SE55,-,29,Main-belt Asteroid,-,-,23.299,-,141.62,3,"F770W, F1130W, F1280W",1051,Non-moving,2022-05-27 04:09:09,2022-05-27 08:35:29,4:26:19
1998 BC1,-,29,Main-belt Asteroid,7.856,.082,18.835,7.952,4506.89,8,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W",1522,Moving,2022-07-14 10:21:08,2022-07-14 12:02:06,1:40:57
2004 XF41,-,24,Main-belt Asteroid,-,-,22.113,-,171.9,3,"F770W, F1500W, F2550W",1714,Non-moving,2023-03-17 02:02:10,2023-03-17 05:06:43,3:04:32
1997 RB1,15381 Spadolini,23,Main-belt Asteroid,1.514,.305,19.86,5.746,141.7,3,"F770W, F1500W, F2550W",1714,Non-moving,2023-03-17 02:02:10,2023-03-17 05:06:43,3:04:32
2017 PN6,-,17,Main-belt Asteroid,-,-,22.807,-,25.34,3,"F770W, F1280W, F1800W",2739,Non-moving,2022-09-01 10:03:38,2022-09-01 11:33:49,1:30:11
2016 GT196,-,16,Main-belt Asteroid,-,-,22.619,-,168.83,4,"F770W, F1000W, F1130W, F2100W",2107,Non-moving,2023-01-31 14:33:18,2023-01-31 15:13:35,0:40:17
2005 RZ61,-,12,Main-belt Asteroid,-,-,23.757,-,46.46,1,F1280W,1282,Non-moving,2023-03-04 12:18:34,2023-03-04 13:44:58,1:26:23
2008 SX186,-,12,Main-belt Asteroid,-,-,23.387,-,54.72,1,F770W,1584,Non-moving,2023-03-31 01:26:40,2023-03-31 03:13:08,1:46:28
1996 YP,-,12,Main-belt Asteroid,-,-,19.347,-,56.94,3,"F560W, F770W, F1130W",2016,Non-moving,2022-07-04 08:21:31,2022-07-04 09:31:02,1:09:30
2014 YE88,-,12,Inner Main-belt Asteroid,-,-,22.835,-,28.67,1,F770W,1640,Non-moving,2023-02-28 04:42:10,2023-02-28 05:58:15,1:16:04
2008 EG37,-,12,Main-belt Asteroid,-,-,22.35,-,1108.12,1,F1280W,1282,Non-moving,2023-09-27 22:50:05,2023-09-28 00:18:37,1:28:31
2019 QB44,-,12,Jupiter Trojan,-,-,22.394,-,422.38,1,F1280W,1282,Non-moving,2023-02-20 16:30:14,2023-02-20 17:55:53,1:25:39
A907 TC,3133 Sendai,12,Main-belt Asteroid,3.6245,.298,16.719,5.389,4449.48,1,F1000W,3228,Non-moving,2024-02-18 23:27:02,2024-02-19 00:04:13,0:37:11
2015 XN511,-,12,Main-belt Asteroid,-,-,24.212,-,14.19,2,"F770W, F2100W",3707,Non-moving,2024-04-24 11:30:20,2024-04-24 12:17:20,0:46:59
2008 WE86,-,12,Main-belt Asteroid,-,-,22.16,-,88.73,1,F560W,1670,Non-moving,2023-03-14 01:54:03,2023-03-14 03:10:19,1:16:15
