Proposal,Observation,Data Type,Intent,Instrument,Filter,Target Moving,Target Name,Polygon Boundary,Exposure Start,Exposure End,Exposure Length (m),Asteroids,Common Name,JPL Classification,JPL Radius (km),JPL Geo Albedo,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Midpoint (RA DEC),JPL Pos Rates (arcsec/hr),JPL Pos Uncertainty (arcsec),Readout Mode,Sub Array Configuation,Array Data Type,Dither Type,BrightSky Pix Numbers,Pixel Units,Flux Density (MJy/sr),Pixel Area (arcsec2/Pix),JPL Visual Magnitude (mag),JPL Surface Brightness (mag/arcsec2),Asteroid Flux (mJy),Flux Error %,Annulus / Img Median,S/N,JPL Asteroid Distance (pix),JPL Asteroid Distance (arcsec/exptime),JPL Center Offset (arcsec),Aperture NAN Perc,Annulus NAN Perc,Streak Flag,Datalabs
1022,jw01022018001_02101_00001_mirimage,image,science,MIRI/IMAGE,F770W,Yes,JUPITER,Polygon 7.353763240999985 1.7846501009999973 7.3239937920000155 1.774824342000001 7.313901283000025 1.8045798999999987 7.343529340999976 1.8146637630000029,2022-07-03 17:31:58.304,2022-07-03 17:32:28.829,0.5087,2014 OL348,-,Main-belt Asteroid,-,-,25.6967,2.365,2.0583,(7.33618  1.77893),(34.1799  6.420514),0.494,FASTR1,FULL,-32.0,NONE,1032 1024,MJy/sr,0.2578,0.0123,23.991,-,0.0,100.0,0.9866,0.0,Point,0.2949,1.2539,0.0,26.85,,True
1022,jw01022021001_03101_00001_mirimage,image,science,MIRI/IMAGE,F770W,Yes,JUPITER,Polygon 7.472878321000017 1.8298202279999978 7.443098564999989 1.8200234749999997 7.43303481699999 1.8497888489999992 7.462673441999996 1.859843847000002,2022-07-03 19:04:20.187,2022-07-03 19:04:50.712,0.5087,1999 NP39,-,Main-belt Asteroid,2.1835,.093,31.811,1.9456,1.5817,(7.4454  1.83779),(54.60755  28.48492),0.006,FASTR1,FULL,-32.0,NONE,1032 1024,MJy/sr,0.2578,0.0123,19.073,6.629,2.5359,5.0,1.0418,4048.46,Point,0.5222,0.4946,16.67,0.0,,True
1051,jw01051006001_03101_00001_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3369086590001 4.010163409 182.36472610000013 3.9956201800000013 182.35032931999987 3.967682452000002 182.32242563799986 3.981943998,2022-05-27 04:09:09.941,2022-05-27 04:10:38.742,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2258,2.3573,1.7401,(182.33852  3.99312),(13.80015  -5.04535),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.046,5.0,1.0009,125.35,2.0485,0.3624,0.1683,0.0,0.0,,True
1051,jw01051006001_03101_00002_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.335822962 4.00725628 182.3636403810002 3.992713198000002 182.34924380000018 3.9647753939999983 182.32134014200022 3.979036793000003,2022-05-27 04:12:02.037,2022-05-27 04:13:30.838,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2261,2.3573,1.7401,(182.3387  3.99305),(13.80193  -5.04625),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.0582,5.0,1.0001,158.55,2.1732,0.3625,0.1695,0.0,0.0,,True
1051,jw01051006001_03101_00003_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3400828540001 4.010624685999998 182.36790031600017 3.9960814669999984 182.35350353800007 3.968143734000002 182.32559983599978 3.982405269000002,2022-05-27 04:14:56.884,2022-05-27 04:16:25.685,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2264,2.3573,1.7402,(182.33889  3.99299),(13.80373  -5.04717),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.045,5.0,1.0037,122.65,2.0485,0.3625,0.156,0.0,0.0,,True
1051,jw01051006001_03103_00001_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.336894892 4.010175652999998 182.36471193899987 3.9956328369999996 182.35031518000022 3.9676948409999997 182.3224119099998 3.9819563449999977,2022-05-27 04:20:24.305,2022-05-27 04:26:00.085,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2273,2.3573,1.7402,(182.33937  3.99281),(13.80834  -5.04952),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.0444,5.0,1.0119,54.49,11.0699,1.3713,0.4002,0.0,0.0,Yes,True
1051,jw01051006001_03103_00002_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580931300003 4.007268320999999 182.36362631999998 3.9927256180000024 182.34922972699994 3.9647875640000003 182.32132649700003 3.9790489550000006,2022-05-27 04:27:23.377,2022-05-27 04:32:59.157,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2281,2.3573,1.7403,(182.33982  3.99265),(13.81266  -5.05173),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.049,5.0,1.0121,60.04,11.0699,1.3718,0.2369,0.0,0.0,Yes,True
1051,jw01051006001_03103_00003_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34006904700004 4.0106367569999986 182.36788610699978 3.996093937000003 182.3534893360001 3.9681559429999984 182.32558605200003 3.982417449999997,2022-05-27 04:34:25.200,2022-05-27 04:40:00.980,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2289,2.3573,1.7403,(182.34027  3.99248),(13.81701  -5.05394),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.0523,5.0,1.0102,64.12,10.9599,1.3722,0.2352,0.0,0.0,Yes,True
1051,jw01051006001_03105_00001_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33688832599992 4.010171139000001 182.36470545799978 3.995628446999998 182.3503086350002 3.9676904489999973 182.3224055450002 3.9819518259999973,2022-05-27 04:42:47.457,2022-05-27 04:44:10.708,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.2296,2.3573,1.7404,(182.34067  3.99233),(13.82095  -5.05595),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.3268,5.0,1.0092,242.22,2.1732,0.3403,0.178,0.0,0.0,,True
1051,jw01051006001_03105_00002_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580332900013 4.007263411999998 182.36362038100023 3.992720756999998 182.34922364699986 3.964782740000001 182.32132063599988 3.9790440809999974,2022-05-27 04:45:36.737,2022-05-27 04:46:59.988,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.23,2.3573,1.7404,(182.34086  3.99227),(13.82269  -5.05684),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.32,5.0,1.0074,237.19,2.3578,0.3404,0.2124,0.0,0.0,,True
