Asteroid ID,Asteroid Name,Asteroid Classification,Epoch,Image Filter,Wavelength (µm),Flux (mJy),Flux Error (%)
1964 VY,2516 Roman,Main-belt Asteroid,2022-06-16 18:37:30.402,F560W,5.6,0.4279,5.0
1964 VY,2516 Roman,Main-belt Asteroid,2022-06-16 18:41:26.241,F560W,5.6,0.419,5.0
1964 VY,2516 Roman,Main-belt Asteroid,2022-06-16 18:33:34.498,F560W,5.6,0.4134,5.0
1988 RM5,-,Main-belt Asteroid,2023-12-29 10:50:20.151,F770W,7.7,3.2574,5.0
1988 RM5,-,Main-belt Asteroid,2023-12-29 10:44:33.272,F770W,7.7,3.9712,5.0
1988 RM5,-,Main-belt Asteroid,2023-12-29 10:15:44.377,F770W,7.7,2.7234,5.0
1988 RM5,-,Main-belt Asteroid,2023-12-29 10:09:54.746,F770W,7.7,3.4758,5.0
1996 NA3,-,Main-belt Asteroid,2024-05-01 00:05:14.663,F2100W,21.0,14.3028,5.0
1996 NA3,-,Main-belt Asteroid,2024-05-01 00:02:11.559,F2100W,21.0,13.2229,5.0
1996 NA3,-,Main-belt Asteroid,2024-04-30 23:47:55.409,F770W,7.7,2.1226,5.0
1996 NA3,-,Main-belt Asteroid,2024-04-30 23:52:30.161,F770W,7.7,2.2027,5.0
1997 CU26,10199 Chariklo,Centaur,2023-09-22 17:35:53.688,F1130W,11.3,0.2229,5.0
1997 CU26,10199 Chariklo,Centaur,2023-09-22 17:19:22.280,F1130W,11.3,0.223,5.0
1997 CU26,10199 Chariklo,Centaur,2023-09-22 17:49:37.956,F1130W,11.3,0.2212,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:53:50.345,F1000W,10.0,14.1286,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:21:19.538,F560W,5.6,0.4117,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:24:35.954,F560W,5.6,0.4056,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:27:56.722,F560W,5.6,0.3978,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:31:16.594,F560W,5.6,0.3908,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:36:09.482,F770W,7.7,4.0785,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:39:13.802,F770W,7.7,4.0022,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:42:18.122,F770W,7.7,3.9017,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:45:18.986,F770W,7.7,3.7254,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:50:46.921,F1000W,10.0,14.9082,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:56:49.481,F1000W,10.0,13.7675,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:10:28.936,F1130W,11.3,20.2268,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:04:18.569,F1130W,11.3,21.4242,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 12:02:02.373,F2100W,21.0,83.4287,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:54:35.846,F1800W,18.0,62.9325,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:51:30.694,F1800W,18.0,59.8951,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:48:22.918,F1800W,18.0,57.497,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:40:55.558,F1500W,15.0,38.254,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:37:52.135,F1500W,15.0,38.7259,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 10:59:50.345,F1000W,10.0,13.2232,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:34:47.815,F1500W,15.0,38.0861,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:27:09.191,F1280W,12.8,26.8744,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:24:04.871,F1280W,12.8,27.6594,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:20:59.720,F1280W,12.8,28.0449,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:17:56.296,F1280W,12.8,29.0197,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:13:30.632,F1130W,11.3,19.5631,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:07:21.992,F1130W,11.3,20.7035,5.0
1998 BC1,-,Main-belt Asteroid,2022-07-14 11:31:42.663,F1500W,15.0,40.0877,5.0
1999 OX3,-,TransNeptunian Object,2024-01-07 11:38:09.100,F1130W,11.3,0.0514,5.0
1999 OX3,-,TransNeptunian Object,2024-01-07 11:23:25.197,F1130W,11.3,0.0519,5.0
1999 OX3,-,TransNeptunian Object,2024-01-07 11:08:17.358,F1130W,11.3,0.052,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:55:45.976,F2550W,25.5,22.2354,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:58:51.127,F2550W,25.5,22.5365,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:50:01.019,F1130W,11.3,12.4699,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:40:51.580,F1130W,11.3,12.4035,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:43:52.444,F1130W,11.3,12.4178,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:46:57.596,F1130W,11.3,12.426,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:27:58.521,F1800W,18.0,22.3214,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:54:25.851,F1280W,12.8,16.4666,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:57:27.547,F1280W,12.8,15.8741,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:36:23.356,F1000W,10.0,9.0567,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:00:32.699,F1280W,12.8,16.065,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:08:10.426,F1500W,15.0,20.3312,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:11:16.474,F1500W,15.0,19.8111,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:14:19.962,F1500W,15.0,19.8461,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:17:27.738,F1500W,15.0,19.9556,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:21:53.338,F1800W,18.0,22.9257,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:24:55.097,F1800W,18.0,22.2843,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:03:37.019,F1280W,12.8,15.9717,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:33:21.596,F1000W,10.0,9.1265,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:30:21.629,F1000W,10.0,9.0211,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 00:58:38.410,F560W,5.6,0.6393,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:44:38.776,F2100W,21.0,22.9066,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:41:33.624,F2100W,21.0,22.831,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:38:30.201,F2100W,21.0,22.7205,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:35:28.441,F2100W,21.0,23.2425,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 02:31:04.569,F1800W,18.0,22.441,5.0
1999 XC173,-,Main-belt Asteroid,2024-12-09 01:01:44.458,F560W,5.6,0.6189,5.0
