Asteroid,Common Name,Frequency,Classification,Radius (km),Geo_Albedo,Visual Mag,Surface Bright (mag/arcsec2),Average S/N,Filter_Count,Filters,Proposals,Moving Target,Earliest Observation,Latest Observation,Observation Time Difference
1999 XC173,-,36,Main-belt Asteroid,-,-,18.2,-,1655.21,9,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W, F2550W",6618,Moving,2024-12-09 00:58:34,2024-12-09 02:58:53,2:00:19
1999 XZ93,-,36,Main-belt Asteroid,2.2875,.368,18.924,5.623,1293.4,9,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W, F2550W",1522,Moving,2023-03-21 15:00:36,2023-03-21 17:02:02,2:01:26
2002 CZ164,-,32,Main-belt Asteroid,-,-,21.026,-,2536.18,2,"F770W, F1280W",1802,Non-moving,2022-07-23 04:17:52,2022-07-23 08:00:03,3:42:11
1998 BC1,-,28,Main-belt Asteroid,7.856,.082,18.835,7.952,4596.34,8,"F560W, F770W, F1000W, F1130W, F1280W, F1500W, F1800W, F2100W",1522,Moving,2022-07-14 10:21:08,2022-07-14 12:02:06,1:40:57
2010 SE55,-,19,Main-belt Asteroid,-,-,23.299,-,183.86,2,"F770W, F1280W",1051,Non-moving,2022-05-27 04:09:09,2022-05-27 08:20:16,4:11:06
2016 GT196,-,13,Main-belt Asteroid,-,-,22.619,-,179.82,4,"F770W, F1000W, F1130W, F2100W",2107,Non-moving,2023-01-31 14:35:09,2023-01-31 15:13:35,0:38:26
2019 QB44,-,12,Jupiter Trojan,-,-,22.394,-,422.38,1,F1280W,1282,Non-moving,2023-02-20 16:30:14,2023-02-20 17:55:53,1:25:39
2008 EG37,-,12,Main-belt Asteroid,-,-,22.35,-,1108.12,1,F1280W,1282,Non-moving,2023-09-27 22:50:05,2023-09-28 00:18:37,1:28:31
2008 WE86,-,10,Main-belt Asteroid,-,-,22.16,-,96.76,1,F560W,1670,Non-moving,2023-03-14 01:54:03,2023-03-14 03:10:19,1:16:15
2002 RW240,113355 Gessler,9,Main-belt Asteroid,-,-,21.172,-,1376.26,2,"F1000W, F2100W",5893,Non-moving,2024-12-21 11:56:28,2024-12-21 13:02:28,1:06:00
2008 SX186,-,9,Main-belt Asteroid,-,-,23.387,-,71.07,1,F770W,1584,Non-moving,2023-03-31 01:26:40,2023-03-31 03:13:08,1:46:28
2000 SK247,-,8,Main-belt Asteroid,-,-,19.976,-,2379.47,1,F770W,1727,Non-moving,2023-12-30 21:03:17,2023-12-30 22:03:02,0:59:45
2002 UO25,-,8,Main-belt Asteroid,-,-,20.757,-,248.41,1,F770W,1727,Non-moving,2023-04-11 20:59:15,2023-04-11 21:59:12,0:59:56
2013 AV201,-,7,Jupiter Trojan,-,-,21.722,-,920.35,2,"F1000W, F2100W",5893,Non-moving,2024-12-21 19:26:55,2024-12-21 20:19:05,0:52:10
2018 HP10,-,7,Main-belt Asteroid,-,-,21.706,-,262.66,3,"F1500W, F2100W, F2550W",1051,Non-moving,2022-05-31 14:32:22,2022-05-31 15:51:58,1:19:35
2005 SH105,-,7,Main-belt Asteroid,-,-,21.115,-,286.81,2,"F770W, F2100W",3707,Non-moving,2024-06-08 11:33:55,2024-06-08 11:50:47,0:16:52
2013 AX137,-,7,Main-belt Asteroid,-,-,23.727,-,233.93,1,F1130W,2025,Non-moving,2022-08-10 00:42:14,2022-08-10 02:02:26,1:20:12
2020 SA57,-,6,Main-belt Asteroid,-,-,23.938,-,64.93,1,F770W,1584,Non-moving,2023-03-31 01:35:16,2023-03-31 03:13:08,1:37:52
