Proposal,Observation,Data Type,Intent,Instrument,Filter,Target Moving,Target Name,Polygon Boundary,Exposure Start,Exposure End,Exposure Length (m),Asteroids,Common Name,JPL Classification,JPL Radius (km),JPL Geo Albedo,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Midpoint (RA DEC),JPL Pos Rates (arcsec/hr),JPL Pos Uncertainty (arcsec),Readout Mode,Sub Array Configuation,Array Data Type,Dither Type,BrightSky Pix Numbers,Pixel Units,Flux Density (MJy/sr),Pixel Area (arcsec2/Pix),JPL Visual Magnitude (mag),JPL Surface Brightness (mag/arcsec2),Asteroid Flux (mJy),Flux Error %,Annulus / Img Median,S/N,JPL Asteroid Distance (pix),JPL Asteroid Distance (arcsec/exptime),JPL Center Offset (arcsec),Aperture NAN Perc,Annulus NAN Perc,Streak Flag,Datalabs
1051,jw01051006001_03101_00001_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3369086590001 4.010163409 182.36472610000013 3.9956201800000013 182.35032931999987 3.967682452000002 182.32242563799986 3.981943998,2022-05-27 04:09:09.941,2022-05-27 04:10:38.742,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2258,2.3573,1.7401,(182.33852  3.99312),(13.80015  -5.04535),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.046,5.0,1.0009,125.35,2.0485,0.3624,0.1683,0.0,0.0,,True
1051,jw01051006001_03101_00002_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.335822962 4.00725628 182.3636403810002 3.992713198000002 182.34924380000018 3.9647753939999983 182.32134014200022 3.979036793000003,2022-05-27 04:12:02.037,2022-05-27 04:13:30.838,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2261,2.3573,1.7401,(182.3387  3.99305),(13.80193  -5.04625),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.0582,5.0,1.0001,158.55,2.1732,0.3625,0.1695,0.0,0.0,,True
1051,jw01051006001_03101_00003_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3400828540001 4.010624685999998 182.36790031600017 3.9960814669999984 182.35350353800007 3.968143734000002 182.32559983599978 3.982405269000002,2022-05-27 04:14:56.884,2022-05-27 04:16:25.685,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2264,2.3573,1.7402,(182.33889  3.99299),(13.80373  -5.04717),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.045,5.0,1.0037,122.65,2.0485,0.3625,0.156,0.0,0.0,,True
1051,jw01051006001_03105_00001_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33688832599992 4.010171139000001 182.36470545799978 3.995628446999998 182.3503086350002 3.9676904489999973 182.3224055450002 3.9819518259999973,2022-05-27 04:42:47.457,2022-05-27 04:44:10.708,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.2296,2.3573,1.7404,(182.34067  3.99233),(13.82095  -5.05595),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.3268,5.0,1.0092,242.22,2.1732,0.3403,0.178,0.0,0.0,,True
1051,jw01051006001_03105_00002_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580332900013 4.007263411999998 182.36362038100023 3.992720756999998 182.34922364699986 3.964782740000001 182.32132063599988 3.9790440809999974,2022-05-27 04:45:36.737,2022-05-27 04:46:59.988,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.23,2.3573,1.7404,(182.34086  3.99227),(13.82269  -5.05684),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.32,5.0,1.0074,237.19,2.3578,0.3404,0.2124,0.0,0.0,,True
1051,jw01051006001_03105_00003_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34006313300017 4.010631865999999 182.36788023100019 3.9960890790000008 182.35348330499994 3.968151129999998 182.32558024700023 3.9824126029999998,2022-05-27 04:48:28.833,2022-05-27 04:49:52.084,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.2302,2.3573,1.7404,(182.34104  3.9922),(13.82447  -5.05775),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.3246,5.0,1.0077,240.59,2.0485,0.3404,0.182,0.0,0.0,,True
1051,jw01051007001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34904263399983 4.007496285999998 182.37685966900023 3.9929524600000015 182.3624623320002 3.9650150420000023 182.33455904999977 3.979277188000001,2022-05-27 05:32:47.344,2022-05-27 05:34:16.145,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2352,2.3573,1.7408,(182.34388  3.99116),(13.85186  -5.07171),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.296,-,0.043,5.0,1.0,117.06,2.1732,0.3639,0.1627,0.0,0.0,,True
1051,jw01051007001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34384764999973 4.006627781 182.37166476199994 3.992084157999998 182.35726764600005 3.964146635000001 182.32936428900004 3.978408576999997,2022-05-27 05:35:42.192,2022-05-27 05:37:10.993,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2356,2.3573,1.7408,(182.34407  3.99109),(13.85366  -5.07263),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.296,-,0.0502,5.0,1.0021,136.76,2.1732,0.3639,0.1542,0.0,0.0,,True
1051,jw01051007001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34498301399978 4.002319608000001 182.372799959 3.9877759459999997 182.35840287900018 3.9598384429999998 182.3304996879998 3.974100425000002,2022-05-27 05:38:34.224,2022-05-27 05:40:03.025,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.236,2.3573,1.7409,(182.34426  3.99103),(13.85543  -5.07353),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.296,-,0.0407,5.0,1.0021,110.89,2.3578,0.364,0.1527,0.0,0.0,,True
1051,jw01051007001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34902272600024 4.007503659000001 182.37683941100025 3.9929602920000002 182.3624419539999 3.9650226440000007 182.33453930300018 3.9792846989999995,2022-05-27 06:06:27.612,2022-05-27 06:07:50.863,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.239,2.3574,1.7411,(182.34605  3.99037),(13.87267  -5.08232),0.174,FASTR1,FULL,-32.0,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.297,-,0.3058,5.0,1.0069,226.71,2.0485,0.3417,0.2166,0.0,0.0,,True
