Proposal,Observation,Filter,Moving,Image Intent,Polygon,Exp Start,Exp End,Asteroids,JPL Classification,S/N,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Diameter (km),JPL Geo Albedo,JPL Pos Uncertainty (Arcsec)
1022,jw01022018001_02101_00001_mirimage,F770W,Yes,science,Polygon 7.353754016999996 1.7846307569999975 7.323984334999979 1.7748051690000004 7.313891614999972 1.8045604790000007 7.343520253999984 1.8146447319999999,2022-07-03 17:31:58.304,2022-07-03 17:32:28.829,,,,,,,,,
1022,jw01022021001_03101_00001_mirimage,F770W,Yes,science,Polygon 7.472869077000019 1.8298008930000023 7.443089088999985 1.8200043110000028 7.4330251300000265 1.8497694369999986 7.462664334999993 1.8598248249999974,2022-07-03 19:04:20.187,2022-07-03 19:04:50.712,['1999 NP39'],['Main-Belt Asteroid'],['14.022'],['31.8110'],['1.94559367'],['1.58169867'],['4.367'],['0.093'],[0.006]
1051,jw01051001001_02101_00001_mirimage,F560W,No,calibration,Polygon 182.3369261070002 4.010168954999999 182.3647436539997 3.9956254630000023 182.35034714100007 3.9676876979999984 182.32244280500024 3.9819493760000015,2022-05-24 12:19:05.638,2022-05-24 12:22:00.466,,,,,,,,,
1051,jw01051001001_02101_00002_mirimage,F560W,No,calibration,Polygon 182.3358404749999 4.007261727000003 182.36365799199993 3.9927183649999987 182.34926165999997 3.964780532 182.32135735599985 3.9790420810000002,2022-05-24 12:23:20.934,2022-05-24 12:26:15.762,,,,,,,,,
1051,jw01051001001_02101_00003_mirimage,F560W,No,calibration,Polygon 182.34010028100013 4.010630097999997 182.36791784199988 3.9960866019999983 182.35352131700023 3.9681488390000017 182.32561696700017 3.9824105200000006,2022-05-24 12:27:39.046,2022-05-24 12:30:33.874,,,,,,,,,
1051,jw01051001001_02103_00001_mirimage,F1000W,No,calibration,Polygon 182.336910078 4.0101753360000005 182.36472737200023 3.9956322609999986 182.3503308139999 3.967694284000002 182.32242695200003 3.9819558409999987,2022-05-24 12:34:10.311,2022-05-24 12:35:36.337,,,,,,,,,
1051,jw01051001001_02103_00002_mirimage,F1000W,No,calibration,Polygon 182.3358246669998 4.007267543000003 182.3636418899997 3.992724522000002 182.34924543800005 3.964786516999998 182.32134164699994 3.9790480200000014,2022-05-24 12:36:56.839,2022-05-24 12:38:22.865,,,,,,,,,
1051,jw01051001001_02103_00003_mirimage,F1000W,No,calibration,Polygon 182.34008464699986 4.010636022999998 182.36790191300025 3.996092866000002 182.3535052649997 3.968154932 182.3256014290001 3.982416570999999,2022-05-24 12:39:51.623,2022-05-24 12:41:17.649,,,,,,,,,
1051,jw01051003001_02101_00001_mirimage,F560W,No,calibration,Polygon 182.34133249999982 4.000192304999999 182.36914962400007 3.985648655999997 182.35475312700027 3.9577109740000007 182.32684921100025 3.971972810999998,2022-05-24 14:34:17.246,2022-05-24 14:37:12.074,,,,,,,,,
1051,jw01051003001_02101_00002_mirimage,F560W,No,calibration,Polygon 182.33606417599992 3.998522825999998 182.36388133100004 3.983979345000001 182.34948503200016 3.9560415760000014 182.32158108699988 3.9703032450000006,2022-05-24 14:38:38.110,2022-05-24 14:41:32.938,,,,,,,,,
1051,jw01051003001_02101_00003_mirimage,F560W,No,calibration,Polygon 182.34201630900012 3.995858263 182.3698332719998 3.9813145859999977 182.35543682199972 3.9533769190000023 182.32753306800012 3.967638784,2022-05-24 14:43:01.726,2022-05-24 14:45:56.554,,,,,,,,,
1051,jw01051003001_02103_00001_mirimage,F1000W,No,calibration,Polygon 182.34131671799997 4.000198359999998 182.3691335549999 3.985655064999999 182.35473695100026 3.9577172040000006 182.32683354199972 3.9719789820000013,2022-05-24 14:49:35.807,2022-05-24 14:51:01.833,,,,,,,,,
1051,jw01051003001_02103_00002_mirimage,F1000W,No,calibration,Polygon 182.33604839199987 3.9985288569999993 182.36386525500006 3.983985718999999 182.34946883899988 3.9560477769999993 182.32156540599988 3.970309398000002,2022-05-24 14:52:27.903,2022-05-24 14:53:53.929,,,,,,,,,
1051,jw01051003001_02103_00003_mirimage,F1000W,No,calibration,Polygon 182.34200060300023 3.9958643090000012 182.36981727300022 3.981320975000003 182.35542070500006 3.953383134000001 182.3275174630001 3.967644953000002,2022-05-24 14:55:19.935,2022-05-24 14:56:45.961,,,,,,,,,
1051,jw01051003001_02105_00001_mirimage,F1800W,No,calibration,Polygon 182.341321383 4.000214223000001 182.36913787999993 3.9856709959999974 182.35474149299998 3.957732951 182.32683792099982 3.971994870999998,2022-05-24 15:00:00.214,2022-05-24 15:01:23.465,,,,,,,,,
1051,jw01051003001_02105_00002_mirimage,F1800W,No,calibration,Polygon 182.33605303200002 3.9985448349999997 182.36386956599983 3.984001785999998 182.34947338899988 3.956063649000001 182.321569782 3.970325389000003,2022-05-24 15:02:49.494,2022-05-24 15:04:12.745,,,,,,,,,
1051,jw01051003001_02105_00003_mirimage,F1800W,No,calibration,Polygon 182.3420052690001 3.995880328999997 182.36982161100002 3.9813370849999976 182.35542528299987 3.9533990489999975 182.32752186700006 3.9676609850000033,2022-05-24 15:05:36.022,2022-05-24 15:06:59.273,,,,,,,,,
1051,jw01051004001_02101_00001_mirimage,F560W,No,calibration,Polygon 182.32905067299984 4.003156757000002 182.35686810000024 3.988613497000002 182.3424719429999 3.9606756149999995 182.31456772899998 3.9749370620000013,2022-05-24 15:44:07.642,2022-05-24 15:47:02.470,,,,,,,,,
1051,jw01051004001_02101_00002_mirimage,F560W,No,calibration,Polygon 182.3233997080001 4.006360245000001 182.3512173590001 3.9918172049999976 182.33682136799993 3.9638792099999978 182.30891693299984 3.9781404360000026,2022-05-24 15:48:34.074,2022-05-24 15:51:28.902,,,,,,,,,
1051,jw01051004001_02101_00003_mirimage,F560W,No,calibration,Polygon 182.32867333299978 4.005134135999998 182.3564908409998 3.990590901000002 182.34209467400024 3.9626530059999996 182.3141903810003 3.976914428000002,2022-05-24 15:52:52.186,2022-05-24 15:55:47.014,,,,,,,,,
1051,jw01051004001_02103_00001_mirimage,F1000W,No,calibration,Polygon 182.329034563 4.0031629990000015 182.35685172700016 3.9886201380000004 182.342455508 3.960682053999997 182.31455177700008 3.9749433970000005,2022-05-24 15:59:37.339,2022-05-24 16:01:03.365,,,,,,,,,
1051,jw01051004001_02103_00002_mirimage,F1000W,No,calibration,Polygon 182.32338064799987 4.006364468 182.3511980009999 3.9918217600000014 182.336801881 3.963883597999999 182.3088979629998 3.9781447869999993,2022-05-24 16:02:29.371,2022-05-24 16:03:55.397,,,,,,,,,
1051,jw01051004001_02103_00003_mirimage,F1000W,No,calibration,Polygon 182.32865751199986 4.005140195999998 182.35647473099996 3.9905973119999985 182.3420784550003 3.962659240000001 182.31417466899984 3.976920605000002,2022-05-24 16:05:21.467,2022-05-24 16:06:47.493,,,,,,,,,
1051,jw01051004001_02105_00001_mirimage,F1800W,No,calibration,Polygon 182.32903917399986 4.003178783 182.3568559940002 3.9886359830000013 182.34245998700018 3.9606977200000024 182.31455609600008 3.9749592089999988,2022-05-24 16:09:58.930,2022-05-24 16:11:22.181,,,,,,,,,
1051,jw01051004001_02105_00002_mirimage,F1800W,No,calibration,Polygon 182.32337966099982 4.006378684000001 182.35119668599987 3.991836065000001 182.33680080500017 3.9638977080000015 182.3088967130001 3.978159015000001,2022-05-24 16:13:07.666,2022-05-24 16:14:30.917,,,,,,,,,
1051,jw01051004001_02105_00003_mirimage,F1800W,No,calibration,Polygon 182.3286620360001 4.005156104999998 182.3564789270002 3.9906133109999975 182.34208289099996 3.962675044000002 182.31417892999985 3.9769365270000017,2022-05-24 16:15:59.697,2022-05-24 16:17:22.948,,,,,,,,,
1051,jw01051006001_03101_00001_mirimage,F770W,No,calibration,Polygon 182.33692901599971 4.010170237999999 182.36474649599987 3.9956267219999972 182.3503500399998 3.9676890150000013 182.3224456739999 3.981950706999999,2022-05-27 04:09:09.941,2022-05-27 04:10:38.742,['2010 SE55'],['Main-Belt Asteroid'],['40.225'],['23.2259'],['2.35727536'],['1.74010744'],['NA'],['NA'],[0.293]
1051,jw01051006001_03101_00002_mirimage,F770W,No,calibration,Polygon 182.3358433189997 4.007263108999999 182.36366077699995 3.9927197399999974 182.34926452099998 3.964781956999998 182.32136017699992 3.979043502000001,2022-05-27 04:12:02.037,2022-05-27 04:13:30.838,['2010 SE55'],['Main-Belt Asteroid'],['33.540'],['23.2262'],['2.35727755'],['1.74013170'],['NA'],['NA'],[0.293]
1051,jw01051006001_03101_00003_mirimage,F770W,No,calibration,Polygon 182.34010321099973 4.010631514000003 182.36792071199991 3.9960880090000006 182.35352425899984 3.968150297000002 182.32561987100004 3.9824119780000014,2022-05-27 04:14:56.884,2022-05-27 04:16:25.685,['2010 SE55'],['Main-Belt Asteroid'],['34.386'],['23.2265'],['2.35727978'],['1.74015634'],['NA'],['NA'],[0.293]
