Proposal,Observation,Instrument,Filter,Moving,Polygon,Exp Start,Exp End,Asteroids
1022,jw01022-o017_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.306766479999976 1.7644805879999972 7.276984956000017 1.7544924549999974 7.266893668000018 1.7845519540000006 7.296675621000006 1.7945402490000013,2022-07-03 17:11:15.041,2022-07-03 17:11:45.566,
1022,jw01022-o018_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.3537626189999825 1.784651949999999 7.3239893450000055 1.774638312 7.313872175000006 1.8046891550000008 7.343645882999984 1.8147029580000014,2022-07-03 17:31:58.304,2022-07-03 17:32:28.829,['2014 OL348']
1022,jw01022-o019_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.400737578000019 1.804926324000003 7.370966218999977 1.794906024000002 7.360842202000026 1.824954601 7.390613999999988 1.8349750679999974,2022-07-03 17:53:20.351,2022-07-03 17:53:50.876,
1022,jw01022-o020_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.451796525999987 1.7902011370000013 7.422013184999998 1.780217183999999 7.411925975000005 1.8102780970000012 7.441709752000019 1.8202622139999987,2022-07-03 20:12:41.751,2022-07-03 20:13:12.276,
1022,jw01022-o021_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.472877699999996 1.829822078 7.443093935999994 1.819837450000001 7.433005816000011 1.849898133000002 7.462790025000003 1.8598829289999985,2022-07-03 19:04:20.187,2022-07-03 19:04:50.712,['1999 NP39']
1022,jw01022-o022_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.421719060000023 1.8502550390000005 7.391935810999984 1.840267864999999 7.381844997999988 1.8703276830000015 7.411628697999974 1.8803150280000018,2022-07-03 18:13:55.294,2022-07-03 18:14:25.819,
1022,jw01022-o023_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.522496289999989 1.858199105999999 7.492714217999991 1.8482080400000025 7.482619426999972 1.8782665359999995 7.512401951000015 1.8882577720000004,2022-07-04 19:35:19.548,2022-07-04 19:35:50.073,
1022,jw01022-o024_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.492292110999973 1.8482371820000012 7.462506813999996 1.8382562229999992 7.452422293000025 1.8683181429999973 7.482208040000024 1.8782992719999978,2022-07-04 19:12:56.382,2022-07-04 19:13:26.907,
1022,jw01022-o025_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.406979974999984 1.7934986569999973 7.377199651000024 1.7835055580000005 7.367103181000013 1.8135633719999977 7.396883941999984 1.823556637000003,2022-07-03 13:11:56.655,2022-07-03 13:12:27.180,
1022,jw01022-o026_t001_miri_f770w,MIRI,F770W,Yes,Polygon 7.458189166999988 1.8142259820000013 7.428405558000023 1.8042416600000013 7.4183178379999815 1.8343024480000016 7.448101888999988 1.8442869349999973,2022-07-03 19:49:56.440,2022-07-03 19:50:26.965,
1023,jw01023-c1002_t002_miri_f560w,MIRI,F560W,No,Polygon 269.86587621900026 66.64706096599986 269.81492117500017 66.61416977700019 269.73647233999975 66.63325233599984 269.78736232600016 66.66616891600006,2022-05-24 09:13:42.992,2022-05-24 10:00:06.426,
1023,jw01023-c1005_t009_miri_f560w,MIRI,F560W,No,Polygon 83.31415309399998 -62.58329489100024 83.31507323900021 -62.619371122000246 83.23615952100022 -62.619775154000045 83.23533517100013 -62.58369843300024,2022-06-09 09:45:23.228,2022-06-09 12:21:57.280,
1023,jw01023-c1006_t003_miri_f560w,MIRI,F560W,No,Polygon 265.80206102499983 66.93412367699979 265.7929171779997 66.89515965099996 265.7079988140001 66.89820036400005 265.7170081800002 66.93716924599998,2022-06-16 22:43:43.653,2022-06-17 00:49:18.046,
1023,jw01023-o009_t007_miri_f560w,MIRI,F560W,No,Polygon 236.57755229699978 30.80137479799998 236.56849306499993 30.766146033000002 236.52721039299993 30.773974059000015 236.536255234 30.80920569299998,2022-05-13 10:44:24.555,2022-05-13 10:52:57.976,
1023,jw01023-o011_t005_miri_f560w,MIRI,F560W,No,Polygon 84.10182040199993 -72.49125105199982 84.13766068599995 -72.52568419100001 84.02224594600014 -72.53649797599984 83.9866043169998 -72.50204422199997,2022-05-23 16:27:23.339,2022-05-23 16:35:45.624,
