Proposal,Observation,Data Type,Intent,Instrument,Filter,Target Moving,Target Name,Polygon Boundary,Exposure Start,Exposure End,Exposure Length (m),Asteroids,Common Name,JPL Classification,JPL Radius (km),JPL Geo Albedo,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),"JPL Midpoint (RA,DEC)",JPL Pos Rates (arcsec/hr),JPL Pos Uncertainty (arcsec),Readout Mode,Sub Array Configuation,Array Data Type,Dither Type,BrightSky Pix Numbers,Pixel Units,Flux Density (MJy/sr),Pixel Area (arcsec2/Pix),JPL Visual Magnitude (mag),JPL Surface Brightness (mag/arcsec2),Asteroid Flux (mJy),Flux Error %,Annulus / Img Median,S/N,JPL Asteroid Distance (pix),JPL Asteroid Distance (arcsec/exptime),JPL Center Offset (arcsec),Aperture NAN Perc,Annulus NAN Perc,Streak Flag,Datalabs
1022,jw01022018001_02101_00001_mirimage,image,science,MIRI/IMAGE,F770W,Yes,JUPITER,Polygon 7.353763240999985 1.7846501009999973 7.3239937920000155 1.774824342000001 7.313901283000025 1.8045798999999987 7.343529340999976 1.8146637630000029,2022-07-03 17:31:58.304,2022-07-03 17:32:28.829,0.5087,2014 OL348,-,Main-belt Asteroid,-,-,25.6967,2.365,2.0583,"(7.33618, 1.77893)","(34.1799, 6.420514)",0.494,FASTR1,FULL,-32,NONE,1032 1024,MJy/sr,0.2578,0.0123,23.991,-,-0.0001,-437.7,0.9866,-0.23,Point,0.2949,32.6923,0.0,26.85,,True
1022,jw01022021001_03101_00001_mirimage,image,science,MIRI/IMAGE,F770W,Yes,JUPITER,Polygon 7.472878321000017 1.8298202279999978 7.443098564999989 1.8200234749999997 7.43303481699999 1.8497888489999992 7.462673441999996 1.859843847000002,2022-07-03 19:04:20.187,2022-07-03 19:04:50.712,0.5087,1999 NP39,-,Main-belt Asteroid,2.1835,.093,31.811,1.9456,1.5817,"(7.4454, 1.83779)","(54.60755, 28.48492)",0.006,FASTR1,FULL,-32,NONE,1032 1024,MJy/sr,0.2578,0.0123,19.073,6.629,2.5359,5.0,1.0418,4048.46,Point,0.5222,12.8957,16.67,0.0,,True
1022,jw01022026001_03101_00001_mirimage,image,science,MIRI/IMAGE,F770W,Yes,JUPITER,Polygon 7.4581897880000065 1.8142241319999992 7.428410188999986 1.804427685 7.418346837999977 1.834193162999998 7.447985307000019 1.8442478550000019,2022-07-03 19:49:56.440,2022-07-03 19:50:26.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33690574999994 4.010162127 182.364723258 3.9956189220000002 182.35032641999973 3.9676811349999985 182.32242276900018 3.981942667000003,2022-05-24 12:19:05.638,2022-05-24 12:22:00.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33582011800024 4.007254897999998 182.3636375960002 3.9927118230000023 182.34924094000002 3.964773969 182.32133732100013 3.9790353720000007,2022-05-24 12:23:20.934,2022-05-24 12:26:15.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3400799239999 4.010623268999999 182.36789744600014 3.996080060999997 182.35350059700025 3.9681422760000022 182.32559693199988 3.982403812000002,2022-05-24 12:27:39.046,2022-05-24 12:30:33.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02103_00001_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3368897220001 4.010168507000002 182.36470697500008 3.9956257199999974 182.35031009399995 3.967687721000002 182.32240691899997 3.9819491320000004,2022-05-24 12:34:10.311,2022-05-24 12:35:36.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02103_00002_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580431099998 4.007260713999998 182.36362149300018 3.9927179810000006 182.34922471700028 3.9647799539999986 182.32132161300007 3.9790413110000022,2022-05-24 12:36:56.839,2022-05-24 12:38:22.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02103_00003_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.340064291 4.010629194 182.3678815160001 3.9960863250000007 182.353484544 3.968148369000001 182.32558139600005 3.982409861999999,2022-05-24 12:39:51.623,2022-05-24 12:41:17.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33689431499997 4.010184222999999 182.36471123399994 3.995641517000001 182.35031458399973 3.967703327999999 182.32241123899976 3.9819648659999998,2022-05-24 12:44:29.150,2022-05-24 12:45:52.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02105_00002_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580909000025 4.007276684000002 182.36362594300005 3.992734040000001 182.34922940700017 3.9647958189999977 182.3213261280003 3.979057293999999,2022-05-24 12:47:15.678,2022-05-24 12:48:38.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051001001_02105_00003_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34006884999997 4.010645018999998 182.36788574700006 3.996102240000004 182.3534890140001 3.9681640889999996 182.32558569099996 3.982425699999997,2022-05-24 12:50:07.709,2022-05-24 12:51:30.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34903982999995 4.0074949620000035 182.37685692400015 3.9929511449999993 182.36245951499993 3.9650136760000017 182.33455627099974 3.979275823,2022-05-24 13:27:46.658,2022-05-24 13:30:41.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3438449489999 4.006626542000001 182.37166211799968 3.992082923000002 182.35726492400016 3.964145351 182.32936160799986 3.9784073,2022-05-24 13:32:07.522,2022-05-24 13:35:02.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34498030499978 4.002318197999998 182.37279730499992 3.9877745349999976 182.3584001419997 3.959836986 182.3304969939998 3.9740989800000017,2022-05-24 13:36:25.634,2022-05-24 13:39:20.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02103_00001_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3490238759999 4.007501031999998 182.3768406960002 3.992957595000002 182.3624432059998 3.965019934000002 182.3345404570002 3.9792819969999993,2022-05-24 13:42:59.651,2022-05-24 13:44:25.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
